name,id
"Population: Asian Alone, Institutionalized Group Quarters",Count_Person_AsianAlone_ResidesInInstitutionalizedGroupQuarters
"Population: Asian Alone, Juvenile Facilities",Count_Person_AsianAlone_ResidesInJuvenileFacilities
"Population: Asian Alone, Military Quarters or Military Ships",Count_Person_AsianAlone_ResidesInMilitaryQuartersOrMilitaryShips
"Population: Asian Alone, Noninstitutionalized Group Quarters",Count_Person_AsianAlone_ResidesInNoninstitutionalizedGroupQuarters
"Population: Asian Alone, Nursing Facilities",Count_Person_AsianAlone_ResidesInNursingFacilities
Population: Asian or Pacific Islander,Count_Person_AsianOrPacificIslander
Population: Below Poverty Level in The Past 12 Months,Count_Person_BelowPovertyLevelInThePast12Months
"Population: Below Poverty Level in The Past 12 Months, American Indian or Alaska Native Alone",Count_Person_BelowPovertyLevelInThePast12Months_AmericanIndianOrAlaskaNativeAlone
Population: Below Poverty Level in The Past 12 Months (Per Capita),Count_Person_BelowPovertyLevelInThePast12Months_AsFractionOf_Count_Person
"Population: Below Poverty Level in The Past 12 Months, Asian Alone",Count_Person_BelowPovertyLevelInThePast12Months_AsianAlone
"Population: Below Poverty Level in The Past 12 Months, Black or African American Alone",Count_Person_BelowPovertyLevelInThePast12Months_BlackOrAfricanAmericanAlone
"Population: Below Poverty Level in The Past 12 Months, Hispanic or Latino",Count_Person_BelowPovertyLevelInThePast12Months_HispanicOrLatino
"Population: Below Poverty Level in The Past 12 Months, Native Hawaiian or Other Pacific Islander Alone",Count_Person_BelowPovertyLevelInThePast12Months_NativeHawaiianOrOtherPacificIslanderAlone
"Population: Below Poverty Level in The Past 12 Months, Some Other Race Alone",Count_Person_BelowPovertyLevelInThePast12Months_SomeOtherRaceAlone
"Population: Below Poverty Level in The Past 12 Months, Two or More Races",Count_Person_BelowPovertyLevelInThePast12Months_TwoOrMoreRaces
"Population: Below Poverty Level in The Past 12 Months, White Alone",Count_Person_BelowPovertyLevelInThePast12Months_WhiteAlone
"Population: Below Poverty Level in The Past 12 Months, White Alone Not Hispanic or Latino",Count_Person_BelowPovertyLevelInThePast12Months_WhiteAloneNotHispanicOrLatino
Population: Black or African American Alone,Count_Person_BlackOrAfricanAmericanAlone
Population: Black or African American Alone or In Combination With One or More Other Races,Count_Person_BlackOrAfricanAmericanAloneOrInCombinationWithOneOrMoreOtherRaces
"Population: Black or African American Alone, Adult Correctional Facilities",Count_Person_BlackOrAfricanAmericanAlone_ResidesInAdultCorrectionalFacilities
"Population: Black or African American Alone, College or University Student Housing",Count_Person_BlackOrAfricanAmericanAlone_ResidesInCollegeOrUniversityStudentHousing
"Population: Black or African American Alone, Group Quarters",Count_Person_BlackOrAfricanAmericanAlone_ResidesInGroupQuarters
"Population: Black or African American Alone, Institutionalized Group Quarters",Count_Person_BlackOrAfricanAmericanAlone_ResidesInInstitutionalizedGroupQuarters
"Population: Black or African American Alone, Juvenile Facilities",Count_Person_BlackOrAfricanAmericanAlone_ResidesInJuvenileFacilities
"Population: Black or African American Alone, Military Quarters or Military Ships",Count_Person_BlackOrAfricanAmericanAlone_ResidesInMilitaryQuartersOrMilitaryShips
"Population: Black or African American Alone, Noninstitutionalized Group Quarters",Count_Person_BlackOrAfricanAmericanAlone_ResidesInNoninstitutionalizedGroupQuarters
"Population: Black or African American Alone, Nursing Facilities",Count_Person_BlackOrAfricanAmericanAlone_ResidesInNursingFacilities
"Population: Citizen Outside EU28, Female",Count_Person_CitizenOutsideEU28_Female
"Population: Citizen Outside EU28, Male",Count_Person_CitizenOutsideEU28_Male
"Population: Citizen, Female",Count_Person_Citizen_Female
"Population: Citizen, Male",Count_Person_Citizen_Male
Population: Cognitive Difficulty,Count_Person_CognitiveDifficulty
Population: 9th To 12th Grade No Diploma,Count_Person_EducationalAttainment_9ThTo12ThGradeNoDiploma
Population: Less Than 9th Grade,Count_Person_EducationalAttainment_LessThan9ThGrade
Population: Less Than High School Diploma,Count_Person_EducationalAttainment_LessThanHighSchoolDiploma
Population: Some College No Degree,Count_Person_EducationalAttainment_SomeCollegeNoDegree
Population: Female,Count_Person_Female
"Population: Female, Above Poverty Level in The Past 12 Months",Count_Person_Female_AbovePovertyLevelInThePast12Months
"Population: Female, American Indian And Alaska Native Alone or In Combination With One or More Other Races",Count_Person_Female_AmericanIndianAndAlaskaNativeAloneOrInCombinationWithOneOrMoreOtherRaces
"Population: Female, American Indian or Alaska Native Alone",Count_Person_Female_AmericanIndianOrAlaskaNativeAlone
"Population: Female, Asian Alone",Count_Person_Female_AsianAlone
"Population: Female, Asian Alone or In Combination With One or More Other Races",Count_Person_Female_AsianAloneOrInCombinationWithOneOrMoreOtherRaces
"Population: Female, Asian or Pacific Islander",Count_Person_Female_AsianOrPacificIslander
"Population: Female, Below Poverty Level in The Past 12 Months",Count_Person_Female_BelowPovertyLevelInThePast12Months
"Population: Female, Black or African American Alone",Count_Person_Female_BlackOrAfricanAmericanAlone
"Population: Female, Black or African American Alone or In Combination With One or More Other Races",Count_Person_Female_BlackOrAfricanAmericanAloneOrInCombinationWithOneOrMoreOtherRaces
"Population: Female, Foreign Born",Count_Person_Female_ForeignBorn
"Population: Female, Foreign Born Outside EU28",Count_Person_Female_ForeignBornOutsideEU28
"Population: Female, Foreign Born Within EU28",Count_Person_Female_ForeignBornWithinEU28
"Population: Female, Hispanic or Latino",Count_Person_Female_HispanicOrLatino
"Population: Female, Hispanic or Latino & American Indian And Alaska Native Alone or In Combination With One or More Other Races",Count_Person_Female_HispanicOrLatino_AmericanIndianAndAlaskaNativeAloneOrInCombinationWithOneOrMoreOtherRaces
"Population: Female, Hispanic or Latino & American Indian or Alaska Native Alone",Count_Person_Female_HispanicOrLatino_AmericanIndianOrAlaskaNativeAlone
"Population: Female, Hispanic or Latino & Asian Alone",Count_Person_Female_HispanicOrLatino_AsianAlone
"Population: Female, Hispanic or Latino & Asian Alone or In Combination With One or More Other Races",Count_Person_Female_HispanicOrLatino_AsianAloneOrInCombinationWithOneOrMoreOtherRaces
"Population: Female, Hispanic or Latino & Asian or Pacific Islander",Count_Person_Female_HispanicOrLatino_AsianOrPacificIslander
"Population: Female, Hispanic or Latino & Black or African American Alone",Count_Person_Female_HispanicOrLatino_BlackOrAfricanAmericanAlone
"Population: Female, Hispanic or Latino & Black or African American Alone or In Combination With One or More Other Races",Count_Person_Female_HispanicOrLatino_BlackOrAfricanAmericanAloneOrInCombinationWithOneOrMoreOtherRaces
"Population: Female, Hispanic or Latino & Native Hawaiian And Other Pacific Islander Alone or In Combination With One or More Other Races",Count_Person_Female_HispanicOrLatino_NativeHawaiianAndOtherPacificIslanderAloneOrInCombinationWithOneOrMoreOtherRaces
"Population: Female, Hispanic or Latino & Native Hawaiian or Other Pacific Islander Alone",Count_Person_Female_HispanicOrLatino_NativeHawaiianOrOtherPacificIslanderAlone
"Population: Female, Hispanic or Latino & Two or More Races",Count_Person_Female_HispanicOrLatino_TwoOrMoreRaces
"Population: Female, Hispanic or Latino & White Alone",Count_Person_Female_HispanicOrLatino_WhiteAlone
"Population: Female, Hispanic or Latino & White Alone or In Combination With One or More Other Races",Count_Person_Female_HispanicOrLatino_WhiteAloneOrInCombinationWithOneOrMoreOtherRaces
"Population: Female, Income Of 0 To 20 Percentile",Count_Person_Female_IncomeOf0To20Percentile
"Population: Female, Income Of 20 To 40 Percentile",Count_Person_Female_IncomeOf20To40Percentile
"Population: Female, Income Of 40 To 60 Percentile",Count_Person_Female_IncomeOf40To60Percentile
"Population: Female, Income Of 60 To 80 Percentile",Count_Person_Female_IncomeOf60To80Percentile
"Population: Female, Income Of 80 To 100 Percentile",Count_Person_Female_IncomeOf80To100Percentile
"Population: Female, Limited Activity Limitation",Count_Person_Female_LimitedActivityLimitation
